condition_id,structure_path,temperature_C,pressure_MPa,liOH_M,kOH_M,phase,task_name,charge,spin,notes
el_li0p00_k4p13_T120_P0p08_rep01,for_chat_gpt/electrolyte_tree/LiOH_0.00M_KOH_4.13M/T120_P0p08/el_li0p00_k4p13_T120_P0p08_rep01.cif,120,0.08,0,4.13,electrolyte,omol,0,1,
el_li0p00_k4p13_T160_P0p46_rep01,for_chat_gpt/electrolyte_tree/LiOH_0.00M_KOH_4.13M/T160_P0p46/el_li0p00_k4p13_T160_P0p46_rep01.cif,160,0.46,0,4.13,electrolyte,omol,0,1,
el_li0p00_k4p13_T200_P1p32_rep01,for_chat_gpt/electrolyte_tree/LiOH_0.00M_KOH_4.13M/T200_P1p32/el_li0p00_k4p13_T200_P1p32_rep01.cif,200,1.32,0,4.13,electrolyte,omol,0,1,
el_li0p00_k4p13_T220_P2p02_rep01,for_chat_gpt/electrolyte_tree/LiOH_0.00M_KOH_4.13M/T220_P2p02/el_li0p00_k4p13_T220_P2p02_rep01.cif,220,2.02,0,4.13,electrolyte,omol,0,1,
el_li0p52_k3p61_T120_P0p08_rep01,for_chat_gpt/electrolyte_tree/LiOH_0.52M_KOH_3.61M/T120_P0p08/el_li0p52_k3p61_T120_P0p08_rep01.cif,120,0.08,0.52,3.61,electrolyte,omol,0,1,
el_li0p52_k3p61_T160_P0p46_rep01,for_chat_gpt/electrolyte_tree/LiOH_0.52M_KOH_3.61M/T160_P0p46/el_li0p52_k3p61_T160_P0p46_rep01.cif,160,0.46,0.52,3.61,electrolyte,omol,0,1,
el_li0p52_k3p61_T200_P1p32_rep01,for_chat_gpt/electrolyte_tree/LiOH_0.52M_KOH_3.61M/T200_P1p32/el_li0p52_k3p61_T200_P1p32_rep01.cif,200,1.32,0.52,3.61,electrolyte,omol,0,1,
el_li0p52_k3p61_T220_P2p02_rep01,for_chat_gpt/electrolyte_tree/LiOH_0.52M_KOH_3.61M/T220_P2p02/el_li0p52_k3p61_T220_P2p02_rep01.cif,220,2.02,0.52,3.61,electrolyte,omol,0,1,
el_li1p03_k3p09_T120_P0p08_rep01,for_chat_gpt/electrolyte_tree/LiOH_1.03M_KOH_3.09M/T120_P0p08/el_li1p03_k3p09_T120_P0p08_rep01.cif,120,0.08,1.03,3.09,electrolyte,omol,0,1,
el_li1p03_k3p09_T160_P0p46_rep01,for_chat_gpt/electrolyte_tree/LiOH_1.03M_KOH_3.09M/T160_P0p46/el_li1p03_k3p09_T160_P0p46_rep01.cif,160,0.46,1.03,3.09,electrolyte,omol,0,1,
el_li1p03_k3p09_T200_P1p32_rep01,for_chat_gpt/electrolyte_tree/LiOH_1.03M_KOH_3.09M/T200_P1p32/el_li1p03_k3p09_T200_P1p32_rep01.cif,200,1.32,1.03,3.09,electrolyte,omol,0,1,
el_li1p03_k3p09_T220_P2p02_rep01,for_chat_gpt/electrolyte_tree/LiOH_1.03M_KOH_3.09M/T220_P2p02/el_li1p03_k3p09_T220_P2p02_rep01.cif,220,2.02,1.03,3.09,electrolyte,omol,0,1,
el_li1p55_k2p58_T120_P0p08_rep01,for_chat_gpt/electrolyte_tree/LiOH_1.55M_KOH_2.58M/T120_P0p08/el_li1p55_k2p58_T120_P0p08_rep01.cif,120,0.08,1.55,2.58,electrolyte,omol,0,1,
el_li1p55_k2p58_T160_P0p46_rep01,for_chat_gpt/electrolyte_tree/LiOH_1.55M_KOH_2.58M/T160_P0p46/el_li1p55_k2p58_T160_P0p46_rep01.cif,160,0.46,1.55,2.58,electrolyte,omol,0,1,
el_li1p55_k2p58_T200_P1p32_rep01,for_chat_gpt/electrolyte_tree/LiOH_1.55M_KOH_2.58M/T200_P1p32/el_li1p55_k2p58_T200_P1p32_rep01.cif,200,1.32,1.55,2.58,electrolyte,omol,0,1,
el_li1p55_k2p58_T220_P2p02_rep01,for_chat_gpt/electrolyte_tree/LiOH_1.55M_KOH_2.58M/T220_P2p02/el_li1p55_k2p58_T220_P2p02_rep01.cif,220,2.02,1.55,2.58,electrolyte,omol,0,1,
el_li2p06_k2p06_T120_P0p08_rep01,for_chat_gpt/electrolyte_tree/LiOH_2.06M_KOH_2.06M/T120_P0p08/el_li2p06_k2p06_T120_P0p08_rep01.cif,120,0.08,2.06,2.06,electrolyte,omol,0,1,
el_li2p06_k2p06_T160_P0p46_rep01,for_chat_gpt/electrolyte_tree/LiOH_2.06M_KOH_2.06M/T160_P0p46/el_li2p06_k2p06_T160_P0p46_rep01.cif,160,0.46,2.06,2.06,electrolyte,omol,0,1,
el_li2p06_k2p06_T200_P1p32_rep01,for_chat_gpt/electrolyte_tree/LiOH_2.06M_KOH_2.06M/T200_P1p32/el_li2p06_k2p06_T200_P1p32_rep01.cif,200,1.32,2.06,2.06,electrolyte,omol,0,1,
el_li2p06_k2p06_T220_P2p02_rep01,for_chat_gpt/electrolyte_tree/LiOH_2.06M_KOH_2.06M/T220_P2p02/el_li2p06_k2p06_T220_P2p02_rep01.cif,220,2.02,2.06,2.06,electrolyte,omol,0,1,
el_li2p58_k1p55_T120_P0p08_rep01,for_chat_gpt/electrolyte_tree/LiOH_2.58M_KOH_1.55M/T120_P0p08/el_li2p58_k1p55_T120_P0p08_rep01.cif,120,0.08,2.58,1.55,electrolyte,omol,0,1,
el_li2p58_k1p55_T160_P0p46_rep01,for_chat_gpt/electrolyte_tree/LiOH_2.58M_KOH_1.55M/T160_P0p46/el_li2p58_k1p55_T160_P0p46_rep01.cif,160,0.46,2.58,1.55,electrolyte,omol,0,1,
el_li2p58_k1p55_T200_P1p32_rep01,for_chat_gpt/electrolyte_tree/LiOH_2.58M_KOH_1.55M/T200_P1p32/el_li2p58_k1p55_T200_P1p32_rep01.cif,200,1.32,2.58,1.55,electrolyte,omol,0,1,
el_li2p58_k1p55_T220_P2p02_rep01,for_chat_gpt/electrolyte_tree/LiOH_2.58M_KOH_1.55M/T220_P2p02/el_li2p58_k1p55_T220_P2p02_rep01.cif,220,2.02,2.58,1.55,electrolyte,omol,0,1,
el_li3p09_k1p03_T120_P0p08_rep01,for_chat_gpt/electrolyte_tree/LiOH_3.09M_KOH_1.03M/T120_P0p08/el_li3p09_k1p03_T120_P0p08_rep01.cif,120,0.08,3.09,1.03,electrolyte,omol,0,1,
el_li3p09_k1p03_T160_P0p46_rep01,for_chat_gpt/electrolyte_tree/LiOH_3.09M_KOH_1.03M/T160_P0p46/el_li3p09_k1p03_T160_P0p46_rep01.cif,160,0.46,3.09,1.03,electrolyte,omol,0,1,
el_li3p09_k1p03_T200_P1p32_rep01,for_chat_gpt/electrolyte_tree/LiOH_3.09M_KOH_1.03M/T200_P1p32/el_li3p09_k1p03_T200_P1p32_rep01.cif,200,1.32,3.09,1.03,electrolyte,omol,0,1,
el_li3p09_k1p03_T220_P2p02_rep01,for_chat_gpt/electrolyte_tree/LiOH_3.09M_KOH_1.03M/T220_P2p02/el_li3p09_k1p03_T220_P2p02_rep01.cif,220,2.02,3.09,1.03,electrolyte,omol,0,1,
el_li3p61_k0p52_T120_P0p08_rep01,for_chat_gpt/electrolyte_tree/LiOH_3.61M_KOH_0.52M/T120_P0p08/el_li3p61_k0p52_T120_P0p08_rep01.cif,120,0.08,3.61,0.52,electrolyte,omol,0,1,
el_li3p61_k0p52_T160_P0p46_rep01,for_chat_gpt/electrolyte_tree/LiOH_3.61M_KOH_0.52M/T160_P0p46/el_li3p61_k0p52_T160_P0p46_rep01.cif,160,0.46,3.61,0.52,electrolyte,omol,0,1,
el_li3p61_k0p52_T200_P1p32_rep01,for_chat_gpt/electrolyte_tree/LiOH_3.61M_KOH_0.52M/T200_P1p32/el_li3p61_k0p52_T200_P1p32_rep01.cif,200,1.32,3.61,0.52,electrolyte,omol,0,1,
el_li3p61_k0p52_T220_P2p02_rep01,for_chat_gpt/electrolyte_tree/LiOH_3.61M_KOH_0.52M/T220_P2p02/el_li3p61_k0p52_T220_P2p02_rep01.cif,220,2.02,3.61,0.52,electrolyte,omol,0,1,
el_li4p13_k0p00_T120_P0p08_rep01,for_chat_gpt/electrolyte_tree/LiOH_4.13M_KOH_0.00M/T120_P0p08/el_li4p13_k0p00_T120_P0p08_rep01.cif,120,0.08,4.13,0,electrolyte,omol,0,1,
el_li4p13_k0p00_T160_P0p46_rep01,for_chat_gpt/electrolyte_tree/LiOH_4.13M_KOH_0.00M/T160_P0p46/el_li4p13_k0p00_T160_P0p46_rep01.cif,160,0.46,4.13,0,electrolyte,omol,0,1,
el_li4p13_k0p00_T200_P1p32_rep01,for_chat_gpt/electrolyte_tree/LiOH_4.13M_KOH_0.00M/T200_P1p32/el_li4p13_k0p00_T200_P1p32_rep01.cif,200,1.32,4.13,0,electrolyte,omol,0,1,
el_li4p13_k0p00_T220_P2p02_rep01,for_chat_gpt/electrolyte_tree/LiOH_4.13M_KOH_0.00M/T220_P2p02/el_li4p13_k0p00_T220_P2p02_rep01.cif,220,2.02,4.13,0,electrolyte,omol,0,1,
